,LidID,Nafn,Radnumer,LidaTegundID,Timastimpill
0,18,TUA,,20,2000-03-30 11:18:55.853
1,19,Rimar ,A,20,2000-03-30 12:24:31.213
2,20,UMF Reynir,,21,2000-03-30 15:53:33.017
3,22,Snæfell,,20,2000-03-30 22:01:33.397
4,23,Genturnar,1,21,2000-03-30 22:01:50.970
5,26,Snæfell,A,21,2000-03-30 22:09:38.573
6,27,Þróttur R,1,20,2000-03-30 23:47:16.597
7,28,Valur Reyðarfirði,,21,2000-03-31 16:10:54.963
8,29,Genturnar,2,21,2000-04-01 11:18:51.580
9,34,Röstin,,21,2000-04-02 15:49:57.717
10,35,HK,,22,2000-04-02 17:32:39.907
11,36,UNÞ,,21,2000-04-02 18:28:38.687
12,37,Honey Bees,,21,2000-04-02 20:41:37.507
13,38,Broskarlar,,20,2000-04-02 20:45:46.567
14,39,Sindri,,21,2000-04-03 10:12:23.580
15,42,Völsungur,A,21,2000-04-03 16:37:04.820
16,43,Völsungur,B,21,2000-04-03 16:47:17.280
17,44,Völsungur,C,21,2000-04-03 16:54:41.660
18,52,ÍK,A,21,2000-04-03 19:31:12.143
19,53,UNÞ,,20,2000-04-03 19:45:00.937
20,54,ÍK,B,21,2000-04-03 19:58:41.183
21,55,Skellur,,21,2000-04-03 20:06:50.290
22,60,Óðinn ,,20,2000-04-03 22:02:55.483
23,61,Óðinn,,22,2000-04-03 22:13:16.277
24,70,Stjarnan,A,21,2000-04-03 22:53:02.457
25,71,Þróttur R,2,20,2000-04-04 00:23:52.283
26,72,Þróttur R,3,20,2000-04-04 00:28:54.760
27,73,Þróttur R,4,20,2000-04-04 00:33:30.577
28,75,Völsungur,,20,2000-04-04 08:19:20.163
29,76,Völsungur ,,22,2000-04-04 08:26:43.083
30,79,Rimar,A,21,2000-04-04 08:54:33.893
31,80,Rimar ,B,20,2000-04-04 09:31:56.940
32,84,Lansinn,,21,2000-04-04 10:46:13.197
33,85,Austri,,21,2000-04-04 11:01:31.850
34,88,Stjarnan,B,21,2000-04-04 11:44:56.493
35,89,Bresi,A,21,2000-04-04 13:12:29.437
36,90,Bresi,B,21,2000-04-04 13:44:29.920
37,91,Súlur,,21,2000-04-04 14:04:21.010
38,92,Víkingur R,A,21,2000-04-04 14:04:54.150
39,93,Rimar,B,21,2000-04-04 14:08:04.753
40,94,Súlur,,23,2000-04-04 14:09:29.153
41,95,ÍS,,21,2000-04-04 14:37:15.080
42,98,Freyjur,,21,2000-04-04 15:06:23.113
43,102,Freyjur,,23,2000-04-04 15:27:19.300
44,108,Víkingur Ó,,20,2000-04-04 16:16:59.763
45,109,Víkingur Ó,,21,2000-04-04 16:31:07.173
46,110,HK,,21,2000-04-04 16:38:14.367
47,111,HK,,23,2000-04-04 16:44:54.883
48,112,Bresi,,23,2000-04-04 17:06:37.117
49,114,Snæfell,B,21,2000-04-04 18:12:37.290
50,115,Hvannir,A,21,2000-04-04 18:21:34.913
51,116,Þróttur N,B,20,2000-04-04 18:28:51.720
52,118,Þróttur N,A,20,2000-04-04 18:38:42.240
53,119,Hvannir,B,21,2000-04-04 19:01:49.717
54,120,Víkingur R,B,21,2000-04-04 19:06:30.750
55,121,Víkingur R,,23,2000-04-04 19:13:27.120
56,123,Smellur,,21,2000-04-04 19:35:52.363
57,124,Óðinn,,21,2000-04-04 20:49:54.230
58,125,Fylkir,A,21,2000-04-04 20:50:48.950
59,126,Fylkir,B,21,2000-04-04 20:58:46.447
60,127,Skautar ,,20,2000-04-04 22:27:12.063
61,129,Skautar,,22,2000-04-04 22:29:50.453
62,131,UMFG,,21,2000-04-04 23:01:41.250
63,132,Blakendur,,22,2000-04-05 08:36:18.053
64,135,Þróttur R,1,21,2000-04-05 08:46:12.530
65,137,Þróttur R,2,21,2000-04-05 09:13:52.107
66,138,Hamar,,20,2000-04-05 09:14:18.223
67,139,Þróttur R,,23,2000-04-05 09:15:51.277
68,140,Hamar,,21,2000-04-05 09:26:26.430
69,141,Fram,,20,2000-04-24 22:30:17.483
70,142,ÍS,A,20,2000-04-24 22:30:44.380
71,143,ÍS,B,20,2000-04-24 22:30:54.077
72,144,KA,,20,2000-04-24 22:31:07.013
73,145,Hyrnan,A,20,2000-04-24 22:31:15.357
74,146,Hyrnan,B,20,2000-04-24 22:31:25.230
75,147,Hyrnan,,22,2000-04-24 22:31:34.203
76,148,Bresi,,20,2000-04-24 22:31:44.127
77,149,Hávörn,,22,2000-04-24 22:32:04.577
78,151,Eik,,21,2000-04-24 22:44:20.603
79,152,Eik,,23,2000-04-24 22:51:37.260
80,153,Skautar,,21,2000-04-24 22:51:54.403
81,154,Krækjur,A,21,2000-04-24 22:52:07.100
82,155,Krækjur,B,21,2000-04-24 22:52:16.837
83,156,Afturelding,,21,2000-04-24 22:52:31.157
84,166,KA,b,20,2001-04-03 12:25:54.443
85,167,Prufa,,20,2001-04-03 13:34:47.407
86,168,Rimar,C,21,2001-04-06 08:32:55.070
87,169,Þórir Schiöth,,20,2001-04-06 21:36:42.660
88,170,Höttur,,20,2001-04-06 21:46:23.233
89,171,Höttur kv,,21,2001-04-06 22:02:04.210
90,172,Hvannir,B,21,2001-04-09 10:43:00.930
91,350,Skautar,B,21,2001-04-11 14:04:24.663
92,351,Hvannir,,21,2001-04-11 16:49:19.510
93,352,Valur Reyðarfirði,,20,2001-04-11 17:24:47.690
94,353,Valur Vegag Reyðarfirði,,20,2001-04-11 17:27:57.403
95,354,Fylkir,C,21,2001-04-13 18:18:24.070
96,355,Genturnar,2,21,2001-04-14 14:29:34.377
97,356,Þróttur N2,,20,2001-04-14 16:29:16.700
98,357,Blakfélag Reykjavikur,,21,2001-04-14 16:56:01.760
99,359,Stjarnan,C,21,2001-04-14 17:33:28.503
100,360,UMFT,,20,2001-04-14 20:19:40.083
101,361,UMFTa,,21,2001-04-14 20:36:13.443
102,362,Genturnar,3,21,2001-04-17 10:31:06.990
103,363,Dímon,,21,2001-04-17 23:37:41.393
104,406,Þróttur N,,20,2001-04-20 20:25:58.690
105,455,KA1, ,20,2001-11-09 17:21:54.670
106,456,Skautar,B,20,2001-11-12 13:12:07.200
107,457,Freyjur,B,20,2001-11-12 13:17:24.890
108,458,"Súlur, Siglufirði", ,21,2001-11-12 22:03:30.233
109,459,UNÞ karlar, ,20,2001-11-14 07:39:46.310
110,460,XX noname, ,20,2001-11-14 23:49:00.093
111,461,KA, ,21,2001-11-15 23:21:31.310
112,462,Eik,B,21,2001-11-15 23:25:46.717
113,463,Freyjur,B,21,2001-11-15 23:27:57.000
114,464,Skautar,A,20,2001-11-15 23:29:22.890
115,481,Afturelding-C, ,21,2001-11-20 09:34:14.250
116,482,Afturelding -2, ,21,2001-11-20 09:37:09.403
117,483,NATO, ,20,2001-11-21 08:33:32.480
118,484,NATO KK, ,20,2001-11-21 08:34:36.420
119,485,NATO Kvk, ,21,2001-11-21 08:35:42.623
120,486,NATOkvk, ,21,2001-11-21 08:38:16.560
121,495,Fylkir,A,21,2001-11-22 23:00:46.933
122,496,Fylkir,B,21,2001-11-22 23:05:05.607
123,497,108 Reykjavík, ,21,2001-11-22 23:11:53.687
