,MotID,LidID,Oskadeild,Styrkur,Gestalid,Timastimpill,LidaTegundID
0,1,18,1.0,,0,2000-03-30 11:18:55.853,20
1,1,19,1.0,,0,2000-03-30 12:24:31.213,20
2,1,20,1.0,,0,2000-03-30 15:53:33.017,21
3,1,22,1.0,,0,2000-03-30 22:01:33.397,20
4,1,23,3.0,,0,2000-03-30 22:01:50.970,21
5,1,26,4.0,,0,2000-03-30 22:09:38.573,21
6,1,27,1.0,,0,2000-03-30 23:47:16.597,20
7,1,28,5.0,,0,2000-03-31 16:10:54.963,21
8,1,29,4.0,,0,2000-04-01 11:18:51.580,21
9,1,34,1.0,,0,2000-04-02 15:49:57.717,21
10,1,35,10.0,,0,2000-04-02 17:32:39.907,22
11,1,36,4.0,,0,2000-04-02 18:28:38.687,21
12,1,37,5.0,,0,2000-04-02 20:41:37.507,21
13,1,38,2.0,,0,2000-04-02 20:45:46.567,20
14,1,39,2.0,,0,2000-04-03 10:12:23.580,21
15,1,42,1.0,,0,2000-04-03 16:37:04.820,21
16,1,43,2.0,,0,2000-04-03 16:47:17.280,21
17,1,44,3.0,,0,2000-04-03 16:54:41.660,21
18,1,52,1.0,,0,2000-04-03 19:31:12.143,21
19,1,53,1.0,,0,2000-04-03 19:45:00.937,20
20,1,54,3.0,,0,2000-04-03 19:58:41.183,21
21,1,55,3.0,,0,2000-04-03 20:06:50.290,21
22,1,60,1.0,,0,2000-04-03 22:02:55.483,20
23,1,61,10.0,,0,2000-04-03 22:13:16.277,22
24,1,70,2.0,,0,2000-04-03 22:53:02.457,21
25,1,71,1.0,,0,2000-04-04 00:23:52.283,20
26,1,72,1.0,,0,2000-04-04 00:28:54.760,20
27,1,73,2.0,,0,2000-04-04 00:33:30.577,20
28,1,75,1.0,,0,2000-04-04 08:19:20.163,20
29,1,76,9.0,,0,2000-04-04 08:26:43.083,22
30,1,79,2.0,,0,2000-04-04 08:54:33.893,21
31,1,80,1.0,,0,2000-04-04 09:31:56.940,20
32,1,84,11.0,,0,2000-04-04 10:46:13.197,21
33,1,85,1.0,,0,2000-04-04 11:01:31.850,21
34,1,88,3.0,,0,2000-04-04 11:44:56.493,21
35,1,89,1.0,,0,2000-04-04 13:12:29.437,21
36,1,90,9.0,,0,2000-04-04 13:44:29.920,21
37,1,91,2.0,,0,2000-04-04 14:04:21.010,21
38,1,92,1.0,,0,2000-04-04 14:04:54.150,21
39,1,93,3.0,,0,2000-04-04 14:08:04.753,21
40,1,94,9.0,,0,2000-04-04 14:09:29.153,23
41,1,95,1.0,,0,2000-04-04 14:37:15.080,21
42,1,98,1.0,,0,2000-04-04 15:06:23.113,21
43,1,102,9.0,,0,2000-04-04 15:27:19.300,23
44,1,108,1.0,,0,2000-04-04 16:16:59.763,20
45,1,109,3.0,,0,2000-04-04 16:31:07.173,21
46,1,110,1.0,,0,2000-04-04 16:38:14.367,21
47,1,111,9.0,,0,2000-04-04 16:44:54.883,23
48,1,112,3.0,,0,2000-04-04 17:06:37.117,23
49,1,114,8.0,,0,2000-04-04 18:12:37.290,21
50,1,115,5.0,,0,2000-04-04 18:21:34.913,21
51,1,116,11.0,,1,2000-04-04 18:28:51.720,20
52,1,118,3.0,,0,2000-04-04 18:38:42.240,20
53,1,119,6.0,,1,2000-04-04 19:01:49.717,21
54,1,120,2.0,,0,2000-04-04 19:06:30.750,21
55,1,121,9.0,,0,2000-04-04 19:13:27.120,23
56,1,123,8.0,,0,2000-04-04 19:35:52.363,21
57,1,124,1.0,,0,2000-04-04 20:49:54.230,21
58,1,125,1.0,,0,2000-04-04 20:50:48.950,21
59,1,126,3.0,,0,2000-04-04 20:58:46.447,21
60,1,127,1.0,,0,2000-04-04 22:27:12.063,20
61,1,129,10.0,,0,2000-04-04 22:29:50.453,22
62,1,131,3.0,,0,2000-04-04 23:01:41.250,21
63,1,132,10.0,,0,2000-04-05 08:36:18.053,22
64,1,135,1.0,,0,2000-04-05 08:46:12.530,21
65,1,137,2.0,,0,2000-04-05 09:13:52.107,21
66,1,138,2.0,,0,2000-04-05 09:14:18.223,20
67,1,139,9.0,,0,2000-04-05 09:15:51.277,23
68,1,140,2.0,,0,2000-04-05 09:26:26.430,21
69,1,141,,,0,2000-04-24 22:30:17.483,20
70,1,142,,,0,2000-04-24 22:30:44.380,20
71,1,143,,,0,2000-04-24 22:30:54.077,20
72,1,144,,,0,2000-04-24 22:31:07.013,20
73,1,145,,,0,2000-04-24 22:31:15.357,20
74,1,146,,,1,2000-04-24 22:31:25.230,20
75,1,147,,,0,2000-04-24 22:31:34.203,22
76,1,148,,,0,2000-04-24 22:31:44.127,20
