,MotID,LidID,EinstID,Timastimpill
0,1,18,24,2000-04-01 10:42:30.767
1,1,18,104,2000-04-01 08:59:30.420
2,1,18,272,2000-04-01 10:40:44.913
3,1,18,452,2000-04-01 09:01:19.177
4,1,18,483,2000-04-30 10:04:24.983
5,1,18,542,2000-03-30 20:09:46.803
6,1,18,570,2000-04-01 08:56:25.153
7,1,18,614,2000-04-03 10:56:57.543
8,1,19,15,2000-03-30 12:30:43.560
9,1,19,97,2000-03-30 12:29:59.507
10,1,19,207,2000-03-30 12:31:30.847
11,1,19,255,2000-04-30 20:27:37.713
12,1,19,359,2000-03-30 12:33:11.590
13,1,19,381,2000-03-30 12:29:15.140
14,1,19,557,2000-03-30 12:33:54.873
15,1,19,593,2000-03-30 12:32:10.073
16,1,20,243,2000-04-03 16:57:15.813
17,1,20,407,2000-04-03 17:01:32.903
18,1,20,486,2000-04-03 16:52:48.500
19,1,20,534,2000-04-03 16:53:47.953
20,1,20,573,2000-04-03 17:00:04.837
21,1,20,611,2000-04-03 16:54:41.700
22,1,20,616,2000-04-03 17:00:54.407
23,1,20,624,2000-04-03 16:56:05.760
24,1,22,41,2000-04-30 20:33:21.567
25,1,22,149,2000-04-29 23:13:49.467
26,1,22,577,2000-04-29 23:12:35.070
27,1,22,617,2000-04-29 23:13:17.540
28,1,22,637,2000-04-29 23:10:49.170
29,1,23,143,2000-05-06 11:16:42.590
30,1,23,214,2000-05-01 10:23:37.780
31,1,23,316,2000-05-01 10:19:34.840
32,1,23,331,2000-05-01 10:18:32.870
33,1,23,340,2000-05-01 10:22:43.520
34,1,23,450,2000-05-01 10:21:00.673
35,1,23,469,2000-05-01 10:21:31.797
36,1,26,42,2000-04-30 20:36:49.357
37,1,26,116,2000-04-30 20:39:46.340
38,1,26,257,2000-04-30 20:38:46.853
39,1,26,280,2000-04-30 20:35:48.930
40,1,26,304,2000-04-30 20:40:47.017
41,1,26,371,2000-04-30 20:37:32.377
42,1,27,392,2000-04-30 16:06:55.150
43,1,27,395,2000-04-30 16:03:34.910
44,1,27,411,2000-04-30 16:00:13.360
45,1,27,438,2000-04-30 16:19:39.900
46,1,27,448,2000-04-30 17:55:57.877
