,MotID,LidID,EinstID,Timastimpill
0,1,27,524,2001-02-09 19:49:31.820
1,1,37,634,2001-02-09 19:49:31.820
2,1,39,472,2001-02-09 19:49:31.820
3,1,52,246,2001-02-09 19:49:31.820
4,1,53,80,2001-02-09 19:49:31.820
5,1,54,175,2001-02-09 19:49:31.820
6,1,55,202,2001-02-09 19:49:31.820
7,1,60,531,2001-02-09 19:49:31.820
8,1,61,455,2001-02-09 19:49:31.820
9,1,71,453,2001-02-09 19:49:31.820
10,1,72,162,2001-02-09 19:49:31.820
11,1,73,479,2001-02-09 19:49:31.820
12,1,79,306,2001-02-09 19:49:31.820
13,1,85,285,2001-02-09 19:49:31.820
14,1,89,85,2001-02-09 19:49:31.820
15,1,91,30,2001-02-09 19:49:31.820
16,1,91,182,2001-02-09 19:49:31.820
17,1,93,313,2001-02-09 19:49:31.820
18,1,95,416,2001-02-09 19:49:31.820
19,1,98,622,2001-02-09 19:49:31.820
20,1,102,282,2001-02-09 19:49:31.820
21,1,110,527,2001-02-09 19:49:31.820
22,1,111,579,2001-02-09 19:49:31.820
23,1,112,139,2001-02-09 19:49:31.820
24,1,115,108,2001-02-09 19:49:31.820
25,1,119,355,2001-02-09 19:49:31.820
26,1,123,210,2001-02-09 19:49:31.820
27,1,125,112,2001-02-09 19:49:31.820
28,1,126,597,2001-02-09 19:49:31.820
29,1,127,473,2001-02-09 19:49:31.820
30,1,144,544,2001-02-09 19:49:31.820
31,1,149,361,2001-02-09 19:49:31.820
32,1,153,75,2001-02-09 19:49:31.820
33,2,19,554,2001-04-27 23:12:31.553
34,2,27,453,2001-04-26 11:21:59.913
35,2,36,368,2001-04-07 21:39:25.937
36,2,37,634,2001-04-07 14:44:21.233
37,2,38,172,2001-04-07 14:58:49.563
38,2,39,365,2001-04-05 10:00:51.803
39,2,42,445,2001-04-17 12:25:24.620
40,2,52,246,2001-04-13 14:43:08.660
41,2,53,19,2001-04-16 20:54:08.637
42,2,54,175,2001-04-13 14:59:24.077
43,2,55,202,2001-04-06 15:44:45.283
44,2,61,455,2001-04-14 22:19:35.637
45,2,72,162,2001-04-26 23:18:57.190
46,2,73,479,2001-04-10 09:14:43.970
47,2,79,306,2001-04-04 14:57:42.610
48,2,85,264,2001-04-25 13:35:04.540
49,2,89,397,2001-04-10 09:14:40.833
50,2,90,242,2001-04-10 09:31:45.597
51,2,93,461,2001-04-07 19:44:32.520
52,2,94,875,2001-04-17 16:19:43.563
53,2,98,599,2001-04-11 22:53:17.303
54,2,102,282,2001-04-11 22:31:11.487
55,2,112,139,2001-04-10 09:17:23.877
56,2,118,588,2001-04-14 16:11:59.160
57,2,125,112,2001-04-13 18:02:16.377
58,2,126,415,2001-04-13 18:12:34.990
59,2,127,345,2001-04-25 18:18:20.333
60,2,145,805,2001-04-14 16:59:51.193
61,2,148,343,2001-04-26 19:14:33.117
62,2,168,729,2001-04-07 19:58:00.810
63,2,351,380,2001-04-11 17:06:52.670
64,2,352,883,2001-04-17 21:16:45.680
65,2,354,597,2001-04-13 18:35:58.833
66,2,356,114,2001-04-14 16:35:02.410
67,2,360,818,2001-04-25 11:24:15.267
68,2,361,826,2001-04-26 00:04:14.750
69,2,363,889,2001-04-17 23:41:23.110
70,2,363,894,2001-04-19 09:57:25.577
