,MotID,LidID,EinstID,Timastimpill
0,1,20,556,2001-02-09 19:49:32.820
1,1,22,342,2001-02-09 19:49:32.820
2,1,26,342,2001-02-09 19:49:32.820
3,1,27,178,2001-02-09 19:49:32.820
4,1,36,131,2001-02-09 19:49:32.820
5,1,37,563,2001-02-09 19:49:32.820
6,1,38,564,2001-02-09 19:49:32.820
7,1,42,445,2001-02-09 19:49:32.820
8,1,43,445,2001-02-09 19:49:32.820
9,1,44,445,2001-02-09 19:49:32.820
10,1,53,513,2001-02-09 19:49:32.820
11,1,55,502,2001-02-09 19:49:32.820
12,1,70,54,2001-02-09 19:49:32.820
13,1,71,178,2001-02-09 19:49:32.820
14,1,72,178,2001-02-09 19:49:32.820
15,1,73,178,2001-02-09 19:49:32.820
16,1,75,497,2001-02-09 19:49:32.820
17,1,76,497,2001-02-09 19:49:32.820
18,1,79,328,2001-02-09 19:49:32.820
19,1,88,54,2001-02-09 19:49:32.820
20,1,89,89,2001-02-09 19:49:32.820
21,1,90,89,2001-02-09 19:49:32.820
22,1,91,204,2001-02-09 19:49:32.820
23,1,92,270,2001-02-09 19:49:32.820
24,1,93,328,2001-02-09 19:49:32.820
25,1,94,204,2001-02-09 19:49:32.820
26,1,108,594,2001-02-09 19:49:32.820
27,1,109,394,2001-02-09 19:49:32.820
28,1,110,404,2001-02-09 19:49:32.820
29,1,111,404,2001-02-09 19:49:32.820
30,1,112,89,2001-02-09 19:49:32.820
31,1,114,342,2001-02-09 19:49:32.820
32,1,115,12,2001-02-09 19:49:32.820
33,1,120,270,2001-02-09 19:49:32.820
34,1,121,270,2001-02-09 19:49:32.820
35,1,123,381,2001-02-09 19:49:32.820
36,1,144,544,2001-02-09 19:49:32.820
37,1,148,89,2001-02-09 19:49:32.820
38,1,149,361,2001-02-09 19:49:32.820
39,1,151,544,2001-02-09 19:49:32.820
40,1,152,544,2001-02-09 19:49:32.820
41,1,154,351,2001-02-09 19:49:32.820
42,1,155,351,2001-02-09 19:49:32.820
